lecture_id,campus,building,room_id
C0440,南大沢,1号,202
C0441,南大沢,6号,206
C0442,南大沢,6号,206
C0443,南大沢,6号,206
C0444,南大沢,6号,105
C0445,南大沢,6号,105
C0446,南大沢,6号,105
C0447,南大沢,1号,109
C0448,南大沢,1号,202
C0449,南大沢,1号,105
C0450,南大沢,AV棟,163
C0451,南大沢,1号,203
C0452,南大沢,1号,204
C0453,南大沢,1号,102
C0454,南大沢,1号,103
C0455,南大沢,1号,104
C0456,南大沢,1号,205
C0457,南大沢,1号,105
C0458,南大沢,AV棟,163
C0460,南大沢,1号,103
C0461,南大沢,1号,206
C0462,南大沢,AV棟,162
C0463,南大沢,1号,105
C0464,南大沢,AV棟,163
C0466,南大沢,1号,103
C0467,南大沢,1号,206
C0470,南大沢,1号,206
C0471,南大沢,6号,404
C0472,南大沢,1号,304
C0473,南大沢,1号,205
C0474,南大沢,1号,109
C0475,南大沢,1号,202
C0476,南大沢,1号,206
C0477,南大沢,1号,109
C0478,南大沢,1号,202
C0479,南大沢,6号,106
C0480,南大沢,1号,309
C0481,南大沢,6号,106
C0482,南大沢,1号,304
D0001,南大沢,1号,201
D0002,南大沢,1号,101
D0003,南大沢,1号,110
D0004,南大沢,1号,302
D0005,南大沢,1号,220
D0007,南大沢,8号,285
D0008,南大沢,11号,204
D0009,南大沢,12号,201
D0010,南大沢,1号,303
D0011,南大沢,1号,101
D0012,南大沢,1号,301
D0013,南大沢,1号,304
D0014,南大沢,1号,110
D0015,南大沢,1号,303
D0016,南大沢,1号,210
D0019,南大沢,12号,201
D0020,南大沢,1号,107
D0021,南大沢,6号,101
D0025,南大沢,1号,201
D0026,南大沢,1号,302
D0027,南大沢,1号,210
D0028,南大沢,1号,240
D0029,南大沢,1号,310
D0031,南大沢,1号,110
D0032,南大沢,1号,302
D0034,南大沢,6号,401
D0035,南大沢,1号,304
D0036,南大沢,12号,201
D0037,南大沢,1号,210
D0038,南大沢,6号,101
D0039,南大沢,1号,303
D0041,南大沢,1号,110
D0042,南大沢,1号,301
D0044,南大沢,1号,240
D0045,南大沢,1号,304
